id,answered,text,Joy,Trust,Love,Sadness,Anger,Disgust,Fear,Surprise,Anticipation,Irony,Sarcasm,Hate,Offensiveness,Is it about the show?,Is it about content?,Incomprensibile
1097257119378743168,0,RT @chenesaidime_: FILIPPO SEI SEMPRE UN COLPO AL CUORE TREMENDO QUANTO EMOZIONE #CheTempoCheFa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1133846509240426368,0,Ragazzone ✔ #chilhavisto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1094634351306985600,0,È stato uno dei Sanremo più brutti in 69° anni #sanremo2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1112101083009163264,0,"@CarolynSmith51 Certamente e mi fa davvero molto piacere, vederti in splendida forma. Buona serata.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1094636227373006848,0,@samu_zam Quella puttanella che urla “MERDEE” la vorrei vedere in faccia..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102306048344555648,0,"Praticamente l'obbiettivo di @fabfazio era quello di farci credere che #Macron è buono, bravo e ci vuole tanto bene. Si vergogni.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1094595251153629184,0,"Va beh, la Tatangelo è un mito! #domenicain",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1094603872037994368,0,"@stanzaselvaggia ma non ha visto la Mara nazional zia, sembrava esaltata al solo complimento fattole, e l'impeto della donna e non della zia, sembrava un adolescente ma va che roba da non credere e per dipiù la ripetizione del brano, infantile a dir poco",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1099751762720972800,0,"RT @mgiovi_MaiSolo: Zia Mara:""Ciao Amore (bacio),ecco almeno,sto ciuffo te copre proprio l'occhio, capito eh...questi occhi belli che c' ha…",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1111022893582962816,0,"Comprovato profilo e rara esperienza nel fare le fotocopie, al massimo. #chilhavisto",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1099691609799696384,0,@ThomasMinistro Perché non ha detto dove va in vacanza?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1087080580691443584,0,La dissociazione cognitiva. Un esempio: - DIBATTISTA:all'estero HO STUDIATO ed approfondito...etc (..) -FAZIO:lei allora da studioso un'opinione su.. -DIBATTISTA: AHAHAH sono diventato studioso adesso per voi???,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1127329324867227648,0,RT @maiunagioia975: Suor Cristina #BallandoConLeStelle https://t.co/uLL2l5NtdZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1097227649896906752,0,"RT @chetempochefa: ""Cento anni fa eravamo noi gli immigrati e ci definivano popolo brutto e sudicio, anche se adesso ce lo dimentichiamo"" @…",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1087078589856661632,0,ma perché questo individuo ha diritto di parola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1094617505455394816,0,RT @pensierounanime: cinquantenni/sessantenni che buttano merda su un ventitreenne che non è neanche presente. Ho detto tutto. #DomenicaIn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102312096530919424,0,"No va beh Walter Veltroni che diventa regista, Renzi che diventa scrittore... e come se io diventassi eterosessuale. #CheTempoCheFa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075167932609691648,0,"@ValeriaSxox Si penso sia anche soggettivo.Ecco perchè sto cercando di evitare di spoilerarmi la storia,perchè una volta che la vengo a scoprire perderei interesse per la serie Tv.Sto facendo uno sforzo inaudito ahhaha",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1105930175064301568,0,"Ehi Vaitua, conosciamo anche noi una che pensa che Giorgio sia un bellissimo nome 😏 #Chilhavisto https://t.co/JN7U54fFdG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
