id,Program Name,text,answered,Gioia,Fiducia,Amore,Tristezza,Rabbia,Disgusto,Paura,Sorpresa,Anticipazione,Ironia,Sarcasmo,Odio,Offensività,Contenitore,Contenuto,Incomprensibile
1085619545761607681,Supercoppa Italiana,SSSSSSSIIIIIIIUUUUUUU grazie @Cristiano #SuperCoppaItaliana #Supercoppa,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1112099810172198913,Ballando Con Le Stelle,@Antimo_Mallardo La_canzone_è_mia.gif,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1085626972179496961,Supercoppa Italiana,@SerieA https://t.co/XEUQfpzP7h,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1097249106014232576,Che Tempo Che Fa,RT @ksnt63: @robertosaviano @chetempochefa @RaiUno Grazie Roberto 💙 Sempre CON TE contro questo #OdioAssoluto che appesta l'Europa su cui…,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1099635706698362885,Domenica In,@mescalofficial @MetaErmal @RaiUno @famedalupi Manca poco 😍 a dopo 💛,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1133825769417916418,Chi L'ha Visto?,RT @defilippi_m: La vita ci pone davanti all’ennesimo bivio. #NonelaDUrso o #chilhavisto? Cosa sceglierà il defilippiber illuminato?,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1085658880527331328,Supercoppa Italiana,RT @emrecan_: First title with @juventusfc 🏆 #SuperCoppa #EC23 #iCan #ForzaJuve https://t.co/OfL7Uy30uZ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1097250672486031363,Che Tempo Che Fa,"RT @chetempochefa: ""Oggi basta azzeccare un congiuntivo per essere considerati élite"" @matteorenzi #chetempochefa https://t.co/zJqF4L1QXV",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1116044576542871552,Champions League,RT @juventusfcen: The stage is set. #GETREADY for another night of @ChampionsLeague football! 💪⚽️⚪️⚫️ #AjaxJuve #UCL #ForzaJuve https://t.…,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1097222002874744838,Che Tempo Che Fa,Mamma e papà di giulio siete proprio tanto tanto belli. #CheTempoCheFa,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1116084291358863363,Champions League,RT @douglascosta: ⚡️,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1116016159567110144,Champions League,@juventusfcen Benin Republic cotonou,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
